Name,Slug,Telegram links
GoalTime N,GTX,https://t.me/GoalTimeNGlobal
Livenodes,LNO,https://t.me/cryptomasterss
Guider,GDR,https://t.me/Guider_official
SoftChain,SCC,https://t.me/softchain
DistX,DISTX,https://t.me/distxio
Cryptonodes,CNMC,https://t.me/cryptonodesCNMC
YieldX,YIELDX,https://t.me/yieldfarmingio
FaithCoin,FAITH,https://t.me/FaithCoin
Curium,CRU,https://t.me/CuriumOfficial
FinTab,FNTB,https://t.me/fintab_chat_en
zzz.finance,ZZZ,https://t.me/zzzfinance
Cryptonex,CNX,https://t.me/cryptonexCNX
CoinClaim,CLM,https://t.me/coinclm
Swiftlance Token,SWL,https://t.me/swiftlanceofficial
MEX,MEX,https://t.me/MEX_chinese
Faircoin,FAIR,https://t.me/faircoineconomy
Aidos Kuneen,ADK,https://t.me/aidos_kuneen
CelCoin,CELC,https://t.me/celcoiners
FUNDChains,FUND,https://t.me/fundchains
Auscoin,AUSC,https://t.me/AuscoinICO
Global Cryptocurrency,GCC,https://t.me/GCCglobalcryptocurrency
GastroAdvisor,FORK,https://t.me/GastroAdvisorOfficial
Lunarium,XLN,https://t.me/Lunarium_Official
Hut34 Entropy,ENTRP,https://t.me/hut34
Infinity Economics,XIN,https://t.me/InfinityEconomicsPlatform
Foresting,PTON,"https://t.me/foresting_global, https://t.me/foresting_network"
SaveToken,SAVE,https://t.me/savetokenus
Maxonrow,MXW,https://t.me/MXWOfficial
Staker Token,STR,https://t.me/stakertoken
Nahmii,NII,"https://t.me/hubiinetwork, https://t.me/hubiinetwork"
MinerJoe,GOLD,https://t.me/+QkZulvkuhFhiNWQx
Ethereum Message Search,EMS,https://t.me/ems_a
Pledgecamp,PLG,"https://t.me/pledgecampkorea, https://t.me/pledgecamp"
Orbit Chain,ORC,https://t.me/OrbitChainGlobal
FINPLE,FPT,"https://t.me/Finple, https://t.me/Finple_English_ANN"
AscensionArcade,AAT,https://t.me/AscensionArcade
Beldex,BDX,https://t.me/beldexcoin
BitRewards Token,BIT,https://t.me/bitrewards
Sudan Gold Coin,SGC,"https://t.me/SGCeng, https://t.me/SGC_news"
VIDY,VIDY,https://t.me/vidycoin
Action Coin,ACTN,https://t.me/officialactioncoin
ColossusXT,COLX,https://t.me/colossuscoin
YieldPanda Finance,YPANDA,https://t.me/yieldpanda_finance
DGL Coin,DGL,https://t.me/dglcoinoficial
Pub Finance,PINT,https://t.me/PubFin
pxGOLD Synthetic GOLD 31 May 2021,PXGOLD-MAY2021,https://t.me/PerlinNetwork
Spore Engineering,SPORE,https://t.me/spore_engineering
Oil Token,OIL,https://t.me/crudeoilfinance
PizzaSwap,PIZZA,https://t.me/PizzaFinance
Stakd Finance,STAKD,https://t.me/stakdfinance
Tinfoil Finance,TIN,https://t.me/tinfoilfinance
Crypto Rocket Launch,CRL,https://t.me/CryptoRocketLaunchOfficial
Slime Finance,SLME,https://t.me/slimefinance
Dark.Build,DB,https://t.me/darkbuildANN
Beflect.Finance,BFI,https://t.me/beflect
Decentralized Oracle,DEOR,https://t.me/DecentralizedOracle
xMARK,XMARK,https://t.me/benchmark_protocol
EsportsPro,ESPRO,https://t.me/EsportsPro_Official_Group
Vanci Finance,VANCII,https://t.me/vancifinance
Pasta Finance,PASTA,https://t.me/PastaFinanceAnnouncements
CircleEx,CX,https://t.me/circleex
EHash,EHASH,https://t.me/EhashGlobal
Warrior Token,WAR,https://t.me/spartancasino
Dukascoin,DUK+,https://t.me/dukascoin_airdrop
TORJ World,TORJ,https://t.me/torjgroup
HOGL Finance,HOGL,https://t.me/HOGLfinance
Staker DAO,STKR,https://t.me/stakercommunity
FEG Token BSC,FEG,https://t.me/fegchat
Cash Tech,CATE,https://t.me/cashtechchat
Ethbox Token,EBOX,https://t.me/ebox_official
Degens,DEGENS,https://t.me/degensbet
vSpaceX,VSPACEX,https://t.me/itovault
LuckyToken,LKT,https://t.me/luckytokencasino
ThunderSwap,TNDR,"https://t.me/thunder_swap_price, https://t.me/thunder_swap, https://t.me/thunder_swap_news"
ETNA Network,ETNA,https://t.me/EtnaNetwork
Nimbus,NBU,https://t.me/Nimbus_Platform_ENG
TacoToken,TACO,https://t.me/Tacoswap_announcements_official
Mercurity Finance,MEE,https://t.me/mercurityfinance
Fairmoon,FAIR,https://t.me/fairmooncoin
More Coin,MORE,https://t.me/more_coin
Minereum,MNE,https://t.me/minereumtoken
NewYorkCoin,NYC,https://t.me/NewYorkCoinNYC
Elite,1337,https://t.me/OfficialEliteCurrency 
Trumpcoin,TRUMP,https://t.me/TrumpCoinWorldWide
Rise,RISE,https://t.me/risevisionofficial
Game,GTC,https://t.me/gameico
Betrium,BTRM,https://t.me/betriumChat
Ammbr,AMR,https://t.me/ammbrICO
PlayKey,PKT,https://t.me/playkey_io
Rilcoin,RIL,https://t.me/rilcoingroup
Hydro,HYDRO,https://t.me/projecthydro
XTRD,XTRD,https://t.me/xtradecommunity
Swace,SWACE,https://t.me/swace
EtherInc,ETI,https://t.me/eincHQ
Invictus Hyperion Fund,IHF,https://t.me/invictus_capital
Monero-Classic,XMC,https://t.me/xmccurrency
Skillchain,SKI,"https://t.me/SkillchainIT, https://t.me/SkillchainOFFICIAL"
BitCanna,BCNA,https://t.me/BitCannaGlobal
Epluscoin,EPLUS,https://t.me/epluscoin
Thorecash (ERC-20),TCH,https://t.me/ThoreGroup
Community Generation Core,CGEN,https://t.me/CGENnews
Bitcoin File,BIFI,https://t.me/bitcoinfile
Bittwatt,BWT,https://t.me/bittwatt
LIPCHAIN,LIPS,https://t.me/LipChain
Atlantis Finance,ATLS,https://t.me/atlantisfi
BitSong,BTSG,https://t.me/BitSongOfficial
Enumivo,ENU,https://t.me/enumivochat
Afro,AFRO,https://t.me/theafro
FortKnoxster,FKX,https://t.me/FortKnoxster
Rootstock RSK,RBTC,https://t.me/RSKsmartcontracts
Safe,SAFE,https://t.me/safe_anwang
Color Platform,CLR,https://t.me/color_platform_en
One,ONE,https://t.me/B1_EN
Karatgold Coin,KBC,https://t.me/joinchat/GCBw7EWPPAVhIjaiLGmO4Q
QuickX Protocol,QCX,https://t.me/quickxprotocol
Tokenize Xchange,TKX,https://t.me/tkxannoucement 
WM PROFESSIONAL,WMPRO,https://t.me/wmpro1
BAW Network,BAW,"https://t.me/BAWannouncement, https://t.me/BAWgroup"
Insureum,ISR,https://t.me/insureum
Daikicoin,DIC,https://t.me/daikicoinprice
Atlas Protocol,ATP,"https://t.me/atlaspiocn, https://t.me/atlaspio"
CENTERCOIN,CENT,"https://t.me/joinchat/FC0wt0dM2uCsQq7yjKVrdg, https://t.me/centercointalk"
Treasure Financial Coin,TFC,https://t.me/treasure_financial_group
SonoCoin,SONO,"https://t.me/SonocoinChannel, https://t.me/sonocoinico"
Newdex Token,DEX,https://t.me/newdexofficialEN
Paytomat,PTI,https://t.me/paytomat
BOSCore,BOS,https://t.me/boscorecommunity
Datbit,DBT,https://t.me/datbit_org
BORA,BORA,"https://t.me/BORAofficial_kr, https://t.me/boraofficial_kr"
World Credit Diamond Coin,WCDC,https://t.me/wcdcoin
Skraps,SKRP,https://t.me/SkrapsOfficial
DAY,DAY,https://t.me/joinchat/IyPrI0uULEo6-E1zDQwTzA
One World Coin,OWO,https://t.me/oneworldofficial
Lightforge,LTFG,https://t.me/LightForms
VNS Coin,VNS,https://t.me/vnscoin_cn
Voltz,VOLTZ,https://t.me/VoltzUK
ANYONE,ANY,https://t.me/AnyoneLTD
Koinon,KOIN,https://t.me/koinon
Trust Ether ReOrigin,TEO,https://t.me/trustfarmblockchaintalk
Fair Dollars,FDS,https://t.me/fdscommunity
Poseidon Network,QQQ,"https://t.me/QQQtoken, https://t.me/QQQ_Poseidon_En"
UP Token,UP,https://t.me/tronupofficial
BTCNEXT Coin,BNX,https://t.me/btcnextofficial
TrustVerse,TRV,https://t.me/trustverse_officialchannel
Fashion Coin,FSHN,"https://t.me/proofoflove, https://t.me/Fashioncoin"
BuyCoinPos,BCP,https://t.me/BCP_Official
Tokoin,TOKO,https://t.me/tokoinglobal
TXT,TXT,https://t.me/trust_dice
PIZZA,PIZZA,https://t.me/PIZZAUSDE
Blockchain Knowledge Coin,BKC,https://t.me/Chinese_Facts
Project WITH,WIKEN,"https://t.me/projectwith_kor, https://t.me/projectwith_eng"
LUX BIO EXCHANGE COIN,LBXC,https://t.me/LBXC_official
D Community,DILI,https://t.me/DCommunity_en
Precium,PCM,"https://t.me/preciumkr, https://t.me/preciumen"
LBK,LBK,https://t.me/LBank_en
Saturn Classic DAO Token,STRN,https://t.me/saturn_dao
GloveCoin,GLOV,https://t.me/OfficialCryptoFightClub
Gomics,GOM,https://t.me/GomicsOfficial
Emirex Token,EMRX,https://t.me/emirex_official
ASIMI,ASIMI,https://t.me/HashingAdSpace
MesChain,MES,"https://t.me/MesChain_announcements, https://t.me/MesChain_English"
ZUM TOKEN,ZUM,https://t.me/ZumToken
ESCX Token,ESCX,"https://t.me/ESCXOfficialChannel, https://t.me/ESCXProject, https://t.me/ESCXGLOBAL"
AMC Entertainment Holdings tokenized stock FTX,AMC,https://t.me/FTX_Official
SCC,SCC,https://t.me/DIGforIT
Triffic,GPS,https://t.me/triffic
Rocket Fund,RKT,https://t.me/rocketfund
Celeum,CLX,https://t.me/celeum_official
Bankcoin Reserve,BCR,https://t.me/bankcoinreserve
Five Star Coin,FSC,https://t.me/fivestarcoin_official
Qitcoin,QTC,https://t.me/Qitcoin
Global Crypto Alliance,CALL,https://t.me/Gcall777
Wellness Token Economy,WELL,https://t.me/wellness_token_official
Tap,XTP,https://t.me/officialtapngo
Tron Game Center Token,TGCT,https://t.me/TronSpaceAdventure
Ouroboros,OURO,https://t.me/ouroboros_lika_world
Rhea Protocol,RHEA,https://t.me/RheaProtocolGroup
Codex,CDEX,https://t.me/CodexHTML
Creditcoin,CTC,https://t.me/CreditcoinOfficial
Honk Honk,HONK,https://t.me/honktoken
Apple Network,ANK,https://t.me/Applenetwork4
Cryptotipsfr,CRTS,https://t.me/CryptotipschatFR
SKINCHAIN,SKC,https://t.me/skinchain
Klaytn,KLAY,http://t.me/Klaytn_EN
Terra,LUNA,https://t.me/TerraLunaChat
TRON (BSC),TRX,https://t.me/tronnetworkEN03
Solana,SOL,https://t.me/solana
VeChain,VET,https://t.me/vechain_official_english
Akash Network,AKT,https://t.me/akashnw
unFederalReserve,ERSDL,https://t.me/unfedres_staking
Metadium,META,https://t.me/MetadiumOfficial
PARSIQ,PRQ,https://t.me/parsiq_group
Lambda,LAMB,https://t.me/HelloLambda
LUKSO Token,LYXE,https://t.me/LUKSO
StakeHound Staked Ether,STETH,https://t.me/stakehound
Litentry,LIT,https://t.me/litentry
DIA,DIA,https://t.me/DIAdata_org
ShareToken,SHR,https://t.me/ShareRing
DerivaDAO,DDX,https://t.me/DerivaDEX
Hydra,HYDRA,https://t.me/hydrachain
Dero,DERO,https://t.me/DeroProjectGroup
#MetaHash,MHC,https://t.me/metahash_ENG
Vertcoin,VTC,https://t.me/VertcoinCrypto
Morpheus Network,MNW,https://t.me/themorpheusnetwork
Dock,DOCK,https://t.me/dockio
Suterusu,SUTER,https://t.me/suterusu_en
DeXe,DEXE,https://t.me/Dexe_network
Obyte,GBYTE,https://t.me/obyteorg
Arianee,ARIA20,https://t.me/arianeeproject
Safe Haven,SHA,https://t.me/safehavenio_announcements
SmartCash,SMART,https://t.me/SmartCashChat
Neutrino System Base Token,NSBT,https://t.me/neutrino_protocol_news
Etherisc DIP Token,DIP,https://t.me/etherisc_community
Plasma Finance,PPAY,"https://t.me/OxPlasmaMedia, https://t.me/OxPlasma_Ru, https://t.me/OxPlasma"
Ultiledger,ULT,https://t.me/ultiledger
BUX Token,BUX,https://t.me/buxcommunity
OceanEX Token,OCE,https://t.me/OceanEx_Official
Presearch,PRE,https://t.me/presearch
DigitalNote,XDN,https://t.me/XDNDN
WePower,WPR,https://t.me/WePowerNetwork
BABB,BAX,https://t.me/babb_official
Mettalex,MTLX,https://t.me/mettalex_official
Autonio,NIOX,https://t.me/Autonio_Foundation
Falcon Project,FNT,"https://t.me/Falcon_ru_official, https://t.me/Falcon_official"
BnkToTheFuture,BFT,https://t.me/bf_token
POA Network,POA,https://t.me/oraclesnetwork
Props Token,PROPS,https://t.me/propsproject
Alpaca City,ALPA,https://t.me/AlpacaCity
Spendcoin,SPND,https://t.me/SpendChat
Myriad,XMY,https://t.me/Myriadcoinofficial
BNB48 Club Token,KOGE,https://t.me/bnb48club_en
IQeon,IQN,https://t.me/IQeon
DXdao,DXD,https://t.me/dxDAO
AnRKey X,$ANRX,https://t.me/anrkeyxofficial
Yearn Lazy Ape,YLA,https://t.me/powerpoolcvp
DAOstack,GEN,https://t.me/daostackcommunity
Parachute,PAR,https://t.me/parachutetokengroup
AlchemyDAO,ALCH,https://t.me/AlchemyOfficial
Etho Protocol,ETHO,https://t.me/Ether_1
DxSale Network,SALE,https://t.me/dxsale
Internxt,INXT,https://t.me/internxt
Total Crypto Market Cap,TCAP,https://t.me/cryptexfinance
xSigma,SIG,https://t.me/xsigma_global
Vidya,VIDYA,https://t.me/Team3D_Official
PancakeTools,TCAKE,https://t.me/tcake_announcements
Yield Protocol,YIELD,https://t.me/yieldshield
BitCore,BTX,https://t.me/bitcore_cc
Sperax,SPA,https://t.me/SperaxUSD
DAEX,DAX,https://t.me/DAEXOfficial_en
EveriToken,EVT,https://t.me/everitoken
Starter.xyz,START,https://t.me/starterxyz
VirgoX Token,VXT,https://t.me/VirgoX_official
Zebi,ZCO,https://t.me/ZebiData
Zeedex,ZDEX,https://t.me/zeedexio
DegenVC,DGVC,https://t.me/degenvc
Earnbase,ENB,https://t.me/earnbasefinance
Coreto,COR,https://t.me/Coreto
POP,POP!,https://t.me/poptownplatform
DeFi of Thrones,DOTX,https://t.me/DeFiOfThronesOfficial
Rope,$ROPE,https://t.me/dontbuyrope
10x.gg,XGG,https://t.me/xggchat
UniPower,POWER,https://t.me/unipower
Insula,ISLA,https://t.me/insulacrypto
Perth Mint Gold Token,PMGT,https://t.me/pmgoldtoken
ThingsOperatingSystem,TOS,https://t.me/TOSChainOfficial
Spaceswap MILK2,MILK2,https://t.me/spaceswap
Komet,KOMET,https://t.me/kometFinance
Rivex,RVX,https://t.me/RiveXOfficial
Lukki Operating Token,LOT,https://t.me/lukkichat
YFTether,YFTE,https://t.me/YfTether
PWR Coin,PWR,https://t.me/joinchat/I0JIzQ_EurCYECKM91OiDw
BitcoinSoV,BSOV,https://t.me/BitcoinSoVCommunity
Keysians Network,KEN,https://t.me/keysians
One Cash,ONC,https://t.me/onecashfinance
AiLink Token,ALI,"https://t.me/ailinkofficial2, https://t.me/ailinkofficial"
Giant,GIC,https://t.me/GiantCoin
Titcoin,TIT,https://t.me/titcoin1
SuperCoin,SUPER,https://t.me/Supercoingroup
Ginga Finance,GIN,https://t.me/GingaFinance
DIMCOIN,DIM,https://t.me/DIMCOIN
Yearn Finance DOT,YFDOT,https://t.me/YFDOT_Finance
Pyrk,PYRK,https://t.me/pyrkcommunity
Bolivarcoin,BOLI,https://t.me/bolivarcoinoficial
SkyHub,SHB,https://t.me/skyhubcoin
CDMCOIN,CDM,https://t.me/cdmcoin
01coin,ZOC,https://t.me/ZOCCoinOfficial
Mynt,MYNT,https://t.me/getmynt
Junsonmingchancoin,JMC,https://t.me/jmc_coin_group
noob.finance,$NOOB,https://t.me/noobfinance
Bitcoin Unicorn,BTCUI,https://t.me/BitcoinUnicorn
StarDEX,XSTAR,https://t.me/stardexio
ExperienceCoin,EPC,https://t.me/experiencecoin
NPCoin,NPC,https://t.me/npcoin_official
Cranepay,CRP,https://t.me/cranepay
Civil,CVL,https://t.me/join_civil
ClassicBitcoin,CBTC,https://t.me/classic_bitcoin
QMCoin,QMC,https://t.me/QMC_Network
PARETO Rewards,PARETO,https://t.me/paretonetworkofficial
Waletoken,WTN,https://t.me/waletokenofficial
IZIChain,IZI,https://t.me/izichainnetwork
Muzika Network,MZK,"https://t.me/muzika_korean, https://t.me/muzika_english"
Racing Pigeon Chain,RPC,https://t.me/joinchat/JKHojAlrEgNEEsLdu-m9nw
WITChain,WIT,https://t.me/witchain
Unobtanium,UNO,https://t.me/unobtaniumuno
GameXCoin,GXC,https://t.me/GXC_EN
EveryCoin,EVY,https://t.me/aaron_platform
Louverture V2,LVT,https://t.me/louverture_fi
ZINC,ZINC,https://t.me/zinc_work
PlayX,PLX,https://t.me/playcoinofficial
Lightning Bitcoin,LBTC,https://t.me/LightningBTC
KickToken,KICK,https://t.me/kickico
Buzcoin,BUZ,https://t.me/buzcoin_eng 
Hara Token,HART,https://t.me/HARAToken
PECULIUM (old),PCL,"https://t.me/ico_peculium, https://t.me/peculiumfr"
TrustUSD,TRUSD,https://t.me/trustusd
Dstarlights Coin,DSC,https://t.me/DstarlightsCoin
DEXA COIN,DEXA,https://t.me/dexacoin
X-power Chain,XPO,https://t.me/xpowerofficial
EYES Protocol,EYES,https://t.me/EYESProtocolOfficial
Axentro,AXNT,https://t.me/axentro
Quantfury,QTF,https://t.me/qtftoken
Hash Bridge Oracle,HBO,https://t.me/HashBridge
Dexchain,DXC,https://t.me/mydexchaintech
Octree,OCT,https://t.me/octree_bsc
Swop,SWOP,https://t.me/swopfisupport
Wildfire,WDF,https://t.me/WildfireOfficial
AGOV (ANSWER Governance),AGOV,https://t.me/ANSWER_GOVERNANCE
IKOMP,IKOMP,https://t.me/kompassofficial
YetiSwap,YTS,https://t.me/YetiSwap
Utrin,UTRIN,https://t.me/UtrinCommunity
PWay,PWAY,https://t.me/pwaytoken
Coinstox,CSX,https://t.me/coinstox
Aurix,AUR,https://t.me/aurix_exchange
Tardigrades Finance,TRDG,https://t.me/TardigradesOfficial
CheesecakeSwap,CCAKE,https://t.me/cheesecakeswap
Unlock Protocol,UDT,https://t.me/unlockprotocol
Pocket Bomb,PBOM,https://t.me/RocketBunnyChat
Collective,CO2,https://t.me/TheCollectiveCommunity
MerchDAO,MRCH,https://t.me/MerchDAO
Rebasing Liquidity,DELTA RLP,https://t.me/Delta_Financial
Hydraledger,HYD,https://t.me/hydraledger
SOGE,SOGE,https://t.me/sogefinance
BlowFish,BLOWF,https://t.me/blowfishtokengroup
ShipItPro,SHPP,https://t.me/shipitpro
RAI Finance,SOFI,https://t.me/RaiFinance
Clever DeFi,CLVA,https://t.me/cleverdefi
Collateral Pay,COLL,https://t.me/CollateralChat
Vanilla,VNL,https://t.me/vanilladefi
Nuggets,NUG,https://t.me/nuggetsblockchain
Trade Token X,TIOX,https://t.me/TradeToken
e-Chat,ECHT,https://t.me/ico_eChat
RigoBlock,GRG,https://t.me/rigoblockprotocol
DAO PlayMarket 2.0,PMT,https://t.me/playmarket_2
BNB Bank,BBK,https://t.me/BNB_BANK_BBK
LightPayCoin,LPC,https://t.me/lightpaycoins
GenesisX,XGS,https://t.me/genesisxproject
DxChain Token,DX,https://t.me/dxchain
Buddy,BUD,"https://t.me/BuddyCoin, https://t.me/Buddycloud"
4ART Coin,4ART,https://t.me/fourartechnologies
Plus Coin,NPLC,https://t.me/PlusCoinEnglish
PERL.eco,PERL,https://t.me/perlinnetworkchat
Coupit,COUP,https://t.me/COUPcoin
Vault Guardian Token,VGT,https://t.me/vault12
Thorecoin,THR,https://t.me/ThoreGroup
Nilu,NILU,https://t.me/niluchat
TetherMoon,TRM,https://t.me/TETHERMOON
SpritzCoin,SPRTZ,https://t.me/Spritzcoin
TerraGreen,TGN,https://t.me/terragreencoin
Filenet,FN,"https://t.me/filenetcommunity, https://t.me/filenetcommunity"
Albos,ALB,https://t.me/albos_official_korea
Litecoin Token,LTK,https://t.me/LTK_Community
Frasindo Rent,FRAS,https://t.me/FRASINDO
Zynecoin,ZYN,https://t.me/zynecoin
Investcoin,INVC,https://t.me/investcoin_official
Token Pocket,TPT,https://t.me/tokenPocket_en
Oculor,OCUL,https://t.me/Oculordiscussion
BitGrin,XBG,https://t.me/BitGrinCommunity
BitpakcoinToken,BPAKC,https://t.me/Bitpakcoin_Offical
Hoard Token,HRD,https://t.me/hoardexchange
Beenode,BNODE,"https://t.me/BeeNodeChat, https://t.me/BeeNode"
XT.com Token,XT,https://t.me/XtChinsesGroupA
SupremeX,SXC,https://t.me/supremexcommunity
Bitcoin Platinums,BCP,https://t.me/RealBitcoinPlatinumsBCP
Global Smart Asset,GSA,https://t.me/globalsmartasset
Atrollcity,PINE,https://t.me/atrollcityofficial
Bit Public Talent Network,BPTN,https://t.me/BitPublicTalentNetwork
Jarvis+,JAR,https://t.me/jarvisplus
LNX Protocol,LNX,https://t.me/lnxprotocol
MEXC Token,MEXC,"https://t.me/mexctrade, https://t.me/mexclife"
LinkToken,LTK,https://t.me/cnlinktoken
Predict,PT,https://t.me/predict_token_cn
EXMO Coin,EXM,"https://t.me/exmo_official, https://t.me/EXMOChatRu, https://t.me/Exmo_com"
Eminer,EM,https://t.me/eminerfans
Meta Dragon City,DRAGON,https://t.me/metadragoncity
CaashCow,COW,https://t.me/caashio
SWIPE Network,SWIPE,https://t.me/swipecrypto
Ace Entertainment,ACE,https://t.me/ACEEntertainment
ALP Coin,ALP,https://t.me/btcalpha
SBank,STS,https://t.me/sbankcapital
BananaTok,BNA,https://t.me/bnaofficialkr
THENODE,THE,https://t.me/thenode_global
Flit Token,FLT,"https://t.me/flittoken, https://t.me/flittokenannouncement"
Velox,VLX,https://t.me/cryptovelox
B ONE PAYMENT,B1P,https://t.me/bonepayment
Unknown Fair Object,UFO,https://t.me/ufoproject
ZCNOX Coin,ZCNOX,https://t.me/zcnox_exchange
BEE Coin,BEE,https://t.me/BEEXoneEN
Cryptobuyer Token,XPT,https://t.me/CryptobuyerEn
Aave DAI v1,ADAI,https://t.me/Aavesome
0cash,ZCH,https://t.me/official_0cash
Cofinex,CNX,https://t.me/cofinexexchange
Largo Coin,LRG,"https://t.me/largocoin, https://t.me/largocoin_chat"
Morcilla War,MOR,https://t.me/morcillawarchat
Frenzy,FZY,https://t.me/FrenzySingapore
Hiblocks,HIBS,https://t.me/hiblocks_kor
IOOX System,IOOX,https://t.me/iooxsystem
ETHPlus,ETHP,https://t.me/ethplusLA
WANAMOON,MOON,https://t.me/WANAMOON_OFFICIAL
AMIX,AMIX,https://t.me/amino_official
INVIZION,NVZN,https://t.me/nvznofficial
Shrimp Finance,SHRIMP,https://t.me/shrimping
Meter Stable,MTR,https://t.me/meter_io
MixTrust,MXT,https://t.me/MixtrustCommunity
